FID	OBJECTID	ADD_ID_HC	ANUMBER	ANUMBERSUF	ST_PRE_MOD	ST_PRE_DIR	ST_PRE_TYP	ST_NAME	ST_POS_TYP	ST_POS_DIR	ST_POS_MOD	SUB_AD_TYP	SUB_AD_ID	CONCAT_AD	MUNI_NAME	ZIP	ZIP4	LANDMARK_1	LANDMARK_2	FLR_LVL	ADD_TYPE	LONGITUDE	LATITUDE	PID	GlobalID
244	32088	0	510	 	 	 	 	1st	Avenue	North	 	 	 	510 1st Avenue North	Minneapolis	55403	 	 	 	0	 	-93.2739	44.9804	 	{8C05F2B4-42E4-42C2-8233-E378B80B6E29}
793	103630	0	510	 	 	 	 	Marquette	Avenue	 	 	 	 	510 Marquette Avenue	Minneapolis	55402	 	 	 	0	 	-93.2697	44.9781	 	{9AC3C791-397C-4E46-8A68-5590A2681356}
1099	143194	0	920	 	 	 	 	2nd	Avenue	South	 	 	 	920 2nd Avenue South	Minneapolis	55402	 	 	 	0	 	-93.2721	44.9731	 	{DBE891B9-0082-446C-93F7-127935797A6D}
1180	153541	0	80	 	 	 	 	8th	Street	South	 	 	 	80 8th Street South	Minneapolis	55402	 	 	 	0	 	-93.2721	44.9759	 	{B1FBD314-A9F3-46F0-875A-CA9894E92DBA}
2691	332470	0	225	 	 	 	 	6th	Street	South	 	 	 	225 6th Street South	Minneapolis	55402	 	 	 	0	 	-93.2686	44.9765	 	{3A37757A-6B4E-4323-86E0-25C21B4B888B}
3385	414713	0	60	 	 	 	 	6th	Street	South	 	 	 	60 6th Street South	Minneapolis	55402	 	 	 	0	 	-93.2708	44.9778	 	{B22B51D3-4168-44D9-BAD1-A1889617CBD9}
62	7575	0	19	 	 	 	 	1st	Street	South	 	 	 	19 1st Street South	Minneapolis	55401	 	 	 	0	 	-93.2658	44.9832	 	{D8CC4C77-B4F1-4A77-86F5-E17214F7E8C8}
66	8178	0	700	 	 	 	 	1st	Avenue	North	 	 	 	700 1st Avenue North	Minneapolis	55403	 	 	 	0	 	-93.2764	44.9787	 	{9D806CC5-8540-4136-8067-D67DCCFD67CA}
118	15044	0	50	 	 	 	 	10th	Street	South	 	 	 	50 10th Street South	Minneapolis	55403	 	 	 	0	 	-93.2753	44.9744	 	{B1B02432-7DB6-4199-83DB-ADACDC48307A}
288	37259	0	77	 	 	 	 	7th	Street	South	 	 	 	77 7th Street South	Minneapolis	55402	 	 	 	0	 	-93.2715	44.9764	 	{6F0C85EF-5587-42D7-9A39-C95250CF16E0}
289	37303	0	431	 	 	 	 	7th	Street	South	 	 	 	431 7th Street South	Minneapolis	55415	 	 	 	0	 	-93.2662	44.9738	 	{4A322525-19ED-4245-BF18-E9E4FAC9E93E}
314	40576	0	1030	 	 	 	 	3rd	Avenue	South	 	 	 	1030 3rd Avenue South	Minneapolis	55403	 	 	 	0	 	-93.2713	44.9717	 	{CF313055-D9C9-4C78-B517-05929298BF34}
419	52879	0	990	 	 	 	 	Nicollet	Mall	 	 	 	 	990 Nicollet Mall	Minneapolis	55402	 	 	 	0	 	-93.2748	44.9742	 	{FCC276AE-B905-4EBF-AF23-3F6A3DE4ECA9}
466	59389	0	88	 	 	 	 	9th	Street	South	 	 	 	88 9th Street South	Minneapolis	55402	 	 	 	0	 	-93.2728	44.9747	 	{8F7E0071-97B7-4F95-81EC-379E206C697B}
