address,Business,Damage,pid
1010 Lake St E,Family Dollar,Destroyed,35-029-24-34-0138
102 LAKE ST E,Atlas Staffing,Destroyed,34-029-24-43-0037
106 LAKE ST E,Express Payday Loans,Destroyed,34-029-24-43-0036
108 Lake St E,CFSC New Money Express,Destroyed,3402924430036
110 31ST ST E,U.S. Post Office,Destroyed,03-028-24-12-0147
112 Lake St E,Quality Tobacco,Destroyed,34-029-24-43-0035
1625 WEST BROADWAY,O'Reilly Auto Parts,Destroyed,1602924240166
2116 LAKE ST E,7 Mile Fashion,Destroyed,3602924340074
2117 W Broadway Ave,Olympic Cafe,Destroyed,1602924220182
2208 LAKE ST E,Home Choice,Destroyed,3602924340074
2210 LAKE ST E,H&R Block,Destroyed,3602924340074
2210 Lake St E,Physicians Group,Destroyed,3602924340074
2322 WASHINGTON AVE N,Holiday,Destroyed,15-029-24-21-0019
2415 WEST BROADWAY,Fade Factory Barber Shop,Destroyed,28-118-21-21-0006
2600 27TH AVE S,Hexagon bar,Destroyed,36-029-24-42-0040
2610 LAKE ST E,Auto zone,Destroyed,36-029-24-43-0060
2613 LAKE ST E,Minnehaha Lake Wine Spirits,Destroyed,01-028-24-12-0097
2616 29TH ST E,Random Warehouse Mixed Use,Destroyed,36-029-24-43-0042
2619 LAKE ST E,GM Tobacco,Destroyed,01-028-24-12-0100
2621 LAKE ST E,Shoff Chiropractic,Destroyed,01-028-24-12-0099
2637 27TH AVE S,Ivy building for the arts,Destroyed,3602924420032
2709 LAKE ST E,Paraiso Lounge,Destroyed,01-028-24-12-0096
2709 LAKE ST E,Town Talk Diner & Gastro Pub,Destroyed,01-028-24-12-0096
2726 LAKE ST E,Max it Pawn,Destroyed,36-029-24-44-0187
2801 26TH AVE S,Dominos,Destroyed,36-029-24-43-0048
2815 LAKE ST E,Metro by T-Mobile,Destroyed,01-028-24-11-0112
2843 26TH AVE S,7 Sigma,Destroyed,36-029-24-43-0036
2864 CHICAGO AVE,Uncle Hugo's and Uncle Edgar's Bookstore,Destroyed,35-029-24-33-0035
2906 CHICAGO AVE,Popeyes chicken,Destroyed,35-029-24-33-0124
2930 CHICAGO AVE,Seafood to Go,Destroyed,35-029-24-33-0106
2931 26TH AVE S,Wendy's,Destroyed,36-029-24-43-0103
2932 CHICAGO AVE,Bling-Bling Beauty Supply,Destroyed,35-029-24-33-0107
2935 CHICAGO AVE,Cricket Wireless,Destroyed,3502924340134
2949 CHICAGO AVE,Midtown Safety Center,Destroyed,3502924340042
2955 CHICAGO AVE,Midtwon Eye Care,Destroyed,3502924340126
3000 SNELLING AVE,Arby’s,Destroyed,01-028-24-12-0114
3003 27th Ave S Ste 400,La Raza,Destroyed,102824120096
3003 27th Ave S Ste 400,Santamaria Broadcasting,Destroyed,102824120096
3003 27th Ave S Ste 400,Sonoma Enterprises,Destroyed,102824120096
3009 27TH AVE S,MSR 27th Ave LLC,Destroyed,01-028-24-12-0095
3030 NICOLLET AVE,Wells Fargo,Destroyed,03-028-24-21-0134
3043 Nicollet Ave,Subway,Destroyed,302824120162
3121 LAKE ST E,Walgreens,Destroyed,06-028-23-22-0164
3536 NICOLLET AVE,Family Dollar,Destroyed,03-028-24-31-0170
3536 NICOLLET AVE,O'Reilly Auto Parts,Destroyed,03-028-24-31-0170
3759 PENN AVE N,Smart Stop,Destroyed,05-029-24-44-0107
4601 HIAWATHA AVE,Holiday station store,Destroyed,18-028-23-12-0084
640 LAKE ST E,Shell Station,Destroyed,35-029-24-33-0151
713 LAKE ST E,LEVELS MPLS,Destroyed,02-028-24-22-0191
714 LAKE ST E,O'Reilly Auto Parts,Destroyed,35-029-24-33-0097
